,Miltal,Modellår,Biltyp,Drivning,Hästkrafter,Färg,Datum i trafik,Märke,Modell,Pris,Län
139,0.0,2024,Halvkombi,Fyrhjulsdriven,429,Ljusblå,,Volvo,EX30,599900,Örebro
140,0.0,2024,SUV,Tvåhjulsdriven,275,Svart,,Volvo,EX30,559000,Örebro
141,0.0,2024,Halvkombi,Fyrhjulsdriven,429,Ljusblå,,Volvo,EX30,599900,Örebro
142,0.0,2024,Sedan,Fyrhjulsdriven,408,Röd,,Volvo,C40,659900,Örebro
143,4400.0,2020,SUV,Tvåhjulsdriven,143,Vit,2020-09-29,Mazda,MX-30,199900,Örebro
144,2900.0,2021,SUV,Tvåhjulsdriven,143,Röd,2020-09-30,Mazda,MX-30,249500,Örebro
145,0.0,2023,SUV,Tvåhjulsdriven,146,Grå,,Mazda,MX-30,349900,Örebro
146,8946.0,2020,Halvkombi,Tvåhjulsdriven,204,Vit,2020-06-02,Kia,E-SOUL,248900,Örebro
147,2000.0,2022,SUV,Fyrhjulsdriven,330,Grå,2021-11-29,Kia,EV6,629000,Örebro
148,8322.0,2021,SUV,Tvåhjulsdriven,204,Vit,2021-03-10,Kia,E-Niro,288900,Örebro
150,2919.0,2019,SUV,Tvåhjulsdriven,204,Röd,2020-02-03,Kia,E-Niro,279900,Örebro
151,4442.0,2021,Halvkombi,Tvåhjulsdriven,204,Blå,2021-02-19,Kia,E-Niro,289800,Örebro
152,5307.0,2021,SUV,Tvåhjulsdriven,204,Blå,2021-03-30,Kia,E-Niro,298900,Örebro
153,3197.0,2021,SUV,Tvåhjulsdriven,204,Grå,2021-03-24,Kia,E-Niro,318900,Örebro
155,1291.0,2023,Halvkombi,Tvåhjulsdriven,218,Vit,2023-01-31,Renault,Mégane,369800,Örebro
156,645.0,2023,Yrkesfordon,Tvåhjulsdriven,123,Vit,2022-08-30,Renault,Kangoo,339800,Örebro
157,1288.0,2022,Halvkombi,Tvåhjulsdriven,136,,2021-10-29,Renault,Zoe,209800,Örebro
158,2208.0,2021,Halvkombi,Tvåhjulsdriven,136,Vit,2020-12-16,Renault,Zoe,209800,Örebro
159,1107.0,2023,Halvkombi,Tvåhjulsdriven,136,Svart,2022-11-25,Renault,Zoe,239800,Örebro
160,3306.0,2021,Halvkombi,Tvåhjulsdriven,109,Vit ,2020-12-30,Renault,Zoe,199800,Örebro
