,Company,Location,Year,Fuel,Miles,Gear,Price,Name,Brand,Model,Engine Volume,Horsepower
7484,,Göteborg,2023,Miljöbränsle/Hybrid,1500,Automat,819900,Mercedes-Benz GLC 300 DE 4MATIC SUV AMG | PANO | DRAG | MOMS,Mercedes-Benz,GLC 300,Unknown,Unknown
7486,,Stockholm,2014,Diesel,8400,Automat,169800,Audi A4 Avant 2.0 TDI Quattro S line Drag 177hk,Audi,A4 Avant,2.0,177
7487,,Stockholm,2013,Bensin,11324,Automat,319900,Mercedes-Benz S 500 L 4M AMG DESIGNO SUPERSKICK,Mercedes-Benz,S 500,Unknown,Unknown
7488,,Gävleborg,2021,Miljöbränsle/Hybrid,6900,Automat,429000,Toyota RAV4 Plug-in Hybrid E-CVT Style med JBL,Toyota,RAV4 Plug-in,Unknown,Unknown
7490,,Stockholm,2015,Diesel,12530,Automat,469900,Land Rover Range Rover 4.4 SDV8 AUTOBIOGRAPHY SV-SÅLD,Land,Rover Range,Unknown,Unknown
7491,,Stockholm,2016,Miljöbränsle/Hybrid,10681,Automat,439800,Volvo XC90 T8 AWD R-Design 7-Sits I Panorama,Volvo,XC90 T8,8,Unknown
7492,,Södermanland,2011,Bensin,17099,Manuell,34900,Toyota Aygo 5-dörrar 1.0 VVT-i  / Besiktad & Servad,Toyota,Aygo 5-dörrar,Unknown,Unknown
7493,,Stockholm,2015,Bensin,7649,Automat,189800,Volvo S60 T5 Summum Läder Taklucka Navi,Volvo,S60 T5,Unknown,Unknown
7494,,Halland,2018,Diesel,12270,Manuell,139900,Kia CEED cee'd_sw 1.6 CRDi GT-Line Euro 6,Kia,CEED cee,Unknown,Unknown
7495,,Göteborg,2020,Diesel,6973,Automat,329900,Volkswagen Tiguan 2.0 TDI 4M R-Line B-Kam Dragk Värmare 190h,Volkswagen,Tiguan 2,2.0,Unknown
7496,,Skåne,2011,Miljöbränsle/Hybrid,17900,Automat,90000,Toyota Prius CVT Euro 5,Toyota,Prius CVT,Unknown,Unknown
7497,,Stockholm,2015,Bensin,8270,Automat,199900,Volvo V40 Cross Country T5 AWD Summum Läder Keyless Navi Nys,Volvo,V40 Cross,5,Unknown
7498,,Stockholm,2016,Diesel,9477,Manuell,174800,Volvo V40 Cross Country D3 Ocean Race Läder P-värmare,Volvo,V40 Cross,Unknown,Unknown
7499,,Stockholm,2022,El,2015,Automat,489000,Audi Q4 e-tron 40 204hk - Backkamera. Digital-Display,Audi,Q4 e-tron,4,204
7500,,Stockholm,2021,El,4453,Automat,279000,Volkswagen ID.3 PRO 204HK,Volkswagen,ID,Unknown,204
7501,,Stockholm,2016,Bensin,17355,Automat,354800,Volvo XC90 T6 AWD Inscription B/O Läder B-Kamera Pano Drag 7,Volvo,XC90 T6,6,Unknown
7502,,Stockholm,2019,Bensin,7620,Automat,199000,Skoda Octavia 1.5 TSI 150hk Automat - Backkamera - Drag,Skoda,Octavia 1,1.5,150
7503,,Stockholm,2021,Bensin,4278,Manuell,189900,Seat Leon Sportstourer 1.5 TSI 130 HK STYLE - Dragkrok,Seat,Leon Sportstourer,1.5,130
7504,Företag,Göteborg,2013,Diesel,13037,Manuell,84800,Volkswagen Golf TDI 105hk Style Dark Label Värmare Välserv,Volkswagen,Golf TDI,Unknown,105
7505,Företag,Göteborg,2016,Diesel,10124,Automat,209800,"BMW 320 d xDrive 190hk Sport line HiFi Kamera Drag 0,43l/mil",BMW,320 d,Unknown,190
7506,,Västernorrland,2019,Bensin,6263,Automat,278800,Volvo V90 T4 190hk Momentum P-Värmare VOC Drag Välservad,Volvo,V90 T4,Unknown,190
7507,,Västernorrland,2014,Bensin,16724,Automat,158900,Subaru Forester 2.0 150hk 4WD M-Värmare Dragkrok,Subaru,Forester 2,Unknown,150
7508,,Västernorrland,2016,Diesel,11306,Automat,209700,BMW 520 d 190hk xDrive Värmare M-Ratt HiFi Välservad,BMW,520 d,Unknown,190
7509,,Östergötland,2022,Diesel,6145,Automat,309000,Volvo V90 B4 Diesel Momentum Advanced Edt,Volvo,V90 B4,Unknown,Unknown
7510,,Stockholm,2023,El,1145,Automat,639900,"Audi Q4 e-tron 50 220kw 299hk - S-Line -20"" Tum - Dragkrok",Audi,Q4 e-tron,4,299
7511,,Stockholm,2019,Diesel,6099,Automat,154899,Opel Combo Cargo 1.5 EAT D-VÄRM B-KAMERA EU6 MOMS (VAT),Opel,Combo Cargo,Unknown,Unknown
7512,,Stockholm,2023,El,407,Automat,1058700,BMW iX xDrive 50 Sportpaket B&W Laser Drag Ny 1.442.500kr,BMW,iX xDrive,Unknown,Unknown
7513,,Stockholm,2018,Miljöbränsle/Hybrid,9790,Automat,399000,Volvo XC60 T8 AWD Inscription Teknikpaket Luftfjädring Drag,Volvo,XC60 T8,8,Unknown
7514,Företag,Stockholm,2024,Miljöbränsle/Hybrid,650,Automat,998700,BMW 550 e xDrive M-Sport Pro Innovation Travel Comfort Drag,BMW,550 e,550,Unknown
7515,,Halland,2015,Diesel,15100,Automat,269900,"BMW X5 x-Drive30d, F15 (258hk) Head-up Panorama",BMW,X5 x-Drive30d,Unknown,258
7516,,Stockholm,2021,Diesel,2860,Automat,244900,Toyota ProAce City 1.5D 130hk Aut. Comfort /2860mil / V-Hjul,Toyota,ProAce City,Unknown,130
7517,,Norrbotten,2016,Diesel,13939,Automat,209900,Volkswagen Passat Alltrack 2.0 TDI 4M Executive/Drag/LED/MoK,Volkswagen,Passat Alltrack,2.0,Unknown
7518,,Stockholm,2017,Miljöbränsle/Hybrid,14452,Automat,419000,Volvo XC90 T8 AWD Inscription B-kamera Läder Drag 7-Sits,Volvo,XC90 T8,8,Unknown
7519,,Skåne,2023,El,1800,Automat,469900,Toyota bZ4X 71.4 kWh AWD EXECUTIVE,Toyota,bZ4X 71,Unknown,Unknown
7520,,Stockholm,2022,Diesel,7608,Automat,599800,Volkswagen Crafter L2 4M 177hk Värmare Drag B-Kamera MOMS,Volkswagen,Crafter L2,Unknown,177
7521,,Stockholm,2020,Diesel,7749,Automat,249800,Peugeot Expert L2 2.0 D-Värmare B-Kamera Nyservad Moms,Peugeot,Expert L2,Unknown,Unknown
7522,,Stockholm,2018,Diesel,16626,Automat,309800,Mercedes-Benz X250 4MATIC Värmare Drag Skinn Diff Kåpa MOMS,Mercedes-Benz,X250 4MATIC,Unknown,Unknown
7523,,Stockholm,2021,El,2934,Automat,269900,Peugeot E-208 Active pack 50 kWh 136hk - Carplay,Peugeot,E-208 Active,Unknown,136
7524,,Stockholm,2019,Diesel,6422,Automat,369800,Iveco Daily 2.3 156hk Värmare Bakgavellyft B-Kamera Moms,Iveco,Daily 2,Unknown,156
7525,,Stockholm,2020,Diesel,4637,Automat,439800,Iveco Daily 3.0 180hk Värmare Bakgavellyft 3-Sits MOMS,Iveco,Daily 3,Unknown,180
